ICSD/MP_ID,formula,sources,MinMass(F1),AverMass(F2),MaxMass(F3),MinPeriodNum(F4),AverPeriodNum(F5),MaxPeriodNum(F6),MinGroupNum(F7),AverGroupNum(F8),MaxGroupNum(F9),MinRaduis(F10),AverRaduis(F11),MaxRaduis(F12),MinEleNegativity(F13),AverEleNegativity(F14),MaxEleNegativity(F15),AverSValenceEleNum(F16),AverPValenceEleNum(F17),AverDValenceEleNum(F18),AverFValenceEleNum(F19),AverSUnfilledState(F20),AverPUnfilledState(F21),AverDUnfilledState(F22),AverFUnfilledState(F23),MinIonizationEner(F24),AverIonizationEner(F25),MaxIonizationEner(F26),MinEleAffinity(F27),AverEleAffinity(F28),MaxEleAffinity(F29),MinMeltingPoint(F30),AverMeltingPoint(F31),MaxMeltingPoint(F32),MinBoilingPoint(F33),AverBoilingPoint(F34),MaxBoilingPoint(F35),MinDensity(F36),AverDensity(F37),MaxDensity(F38),NegaMinGap(SN1),NegaAverGap(SN2),NegaMaxGap(SN3),MinNegaDipoleTotal(SN4),AverNegaDipoleTotal(SN5),MaxNegaDipoleTotal(SN6),MinNegaAnisoQuadrupole(SN7),AverNegaAnisoQuadrupole(SN8),MaxNegaAnisoQuadrupole(SN9),MinNegaAnisoPolar(SN10),AverNegaAnisoPolar(SN11),MaxNegaAnisoPolar(SN12),MinNegaTotalHyperPolar(SN13),AverNegaTotalHyperPolar(SN14),MaxNegaTotalHyperPolar(SN15),TotalNegaCharge(SN16),TotalNegaMultiplicity(SN17),MinNegaFlexibility(SN18),TotalNegaFlexibility(SN19),AverNegaFlexibility(SN20),MaxNegaFlexibility(SN21),AverNegaCharge(SN22),PosiMinGap(SP1),PosiAverGap(SP2),PosiMaxGap(SP3),MinPosiDipoleTotal(SP4),AverPosiDipoleTotal(SP5),MaxPosiDipoleTotal(SP6),MinPosiAnisoQuadrupole(SP7),AverPosiAnisoQuadrupole(SP8),MaxPosiAnisoQuadrupole(SP9),MinPosiAnisoPolar(SP10),AverPosiAnisoPolar(SP11),MaxPosiAnisoPolar(SP12),MinPosiTotalHyperPolar(SP13),AverPosiTotalHyperPolar(SP14),MaxPosiTotalHyperPolar(SP15),TotalPosiCharge(SP16),TotalPosiMultiplicity(SP17),MinPosiFlexibility(SP18),TotalPosiFlexibility(SP19),AverPosiFlexibility(SP20),MaxPosiFlexibility(SP21),Eg_PBE(eV),Eg_EXP(eV),delta_n,d_ij(pm/V)
194193,Bi2Te(IO3)O5Cl,ICSD,15.999,64.301,208.98,2,3.154,6,15,16,17,152,169.923,207,2.02,3.037,3.44,2,4,3.077,2.154,0,2,0,0,7.289,11.996,13.618,0.946,1.71,3.617,54.36,215.78,722.66,90.2,488.712,1837,0.001,2.369,9.807,2.554,6.885,11.269,2.989,41.602,118.194,2.735,48.156,519.459,0,123.966,329.279,0,4167.013,12498.2,-8,3,0,0.2,0.067,0.138,-2.667,10.881,10.881,10.881,0,0,0,26.155,26.155,26.155,33.468,33.468,33.468,1.051,1.051,1.051,0,1,0.039,0.039,0.039,0.039,2.82,3.6,0.091,
194200,Ba3P3O10Cl,ICSD,15.999,41.197,137.33,2,2.941,6,2,13.412,17,152,178.765,268,0.89,2.753,3.44,2,3.176,0,0,0,1.765,0,0,5.212,11.544,13.618,-0.48,1.119,3.617,54.36,274.538,1000,90.2,547.768,2170,0.001,0.961,3.62,6.71,8.99,11.269,3.625,11.313,19.001,2.735,12.681,25.055,0,0.009,0.018,0,19.635,39.27,-4,2,0,0.107,0.054,0.107,-2,7.437,7.437,7.437,8.29,8.29,8.29,25.893,34.183,25.893,58.06,58.06,58.06,11254.2,11254.2,11254.2,0,1,0.234,0.234,0.234,0.234,5.15,6.89,0.028,0.5469
194201,Ba3P3O10Br,ICSD,15.999,43.812,137.33,2,3,6,2,13.412,17,152,179.235,268,0.89,2.741,3.44,2,3.176,0.588,0,0,1.765,0,0,5.212,11.476,13.618,-0.48,1.104,3.365,54.36,280.085,1000,90.2,553.229,2170,0.001,1.144,3.62,6.71,8.337,9.964,12.102,15.552,19.001,25.055,30.797,30.492,0,0.009,0.018,0,19.635,39.27,-4,2,0,0.107,0.054,0.107,-2,7.437,7.437,7.437,8.29,8.29,8.29,25.893,34.183,25.893,58.06,58.06,58.06,11254.2,11254.2,11254.2,0,1,0.234,0.234,0.234,0.234,5.26,6.22,0.023,0.458
194236,Rb2CdBr2I2,ICSD,79.9,99.565,126.905,4,4.714,5,1,11.714,17,158,218,303,0.82,2.081,2.96,1.714,2.857,7.143,0,0.286,0.571,0,0,4.177,8.84,11.814,0.27,2.008,3.365,265.95,360.677,594.22,331.95,648.714,1040,1.53,3.976,8.69,8.47,9.217,9.964,10.128,11.115,12.102,21.356,21.793,30.492,0,0,0,0,0,0,-2,2,0,0,0,0,-1,5.014,6.612,8.21,4.599,5.283,5.967,15.344,12.955,33.92,35.12,1057.3,2079.48,3210.53,3079618.476,6156026.421,0,2,0.058,0.158,0.079,0.099,3.17,3.35,,
195590,Pb2Ba3(BO3)3Br,ICSD,10.81,60.151,207.2,2,3.222,6,2,13,17,152,185.278,268,0.89,2.632,3.44,2,2.667,1.667,1.556,0,2.333,0,0,5.212,10.541,13.618,-0.48,0.924,3.365,54.36,666.689,2348,90.2,1362.042,4273,0.001,2.432,11.342,4.813,7.389,9.964,12.102,23.89,35.678,30.492,39.136,103.947,0,138.86,277.72,0,82.78,165.56,-4,2,0,0.07,0.035,0.07,-2,7.437,8.8,10.163,4.781,6.535,8.29,17.622,15.346,25.893,23.084,40.572,58.06,1398.39,6326.295,11254.2,0,2,0.061,0.295,0.148,0.234,3.498,,0.02,2.4725
200146,K6Nb6Ge4O26,ICSD,15.999,35.679,92.906,2,2.905,5,1,12.095,16,152,183.048,275,0.82,2.667,3.44,1.714,2.667,1.524,0,0.286,1.619,0.857,0,4.341,10.768,13.618,0.501,1.232,1.461,54.36,589.956,2750,90.2,1215.79,5017,0.001,1.859,8.57,5.743,6.425,7.107,32.145,46.145,60.144,53.783,171.633,250.977,0.235,0.503,0.772,40.632,103.397,166.162,-7,2,0.046,0.141,0.07,0.095,-3.5,5.294,5.294,5.294,2.639,2.639,2.639,34.753,37.392,34.753,230.047,230.047,230.047,30942.76,30942.76,30942.76,0,1,0.094,0.094,0.094,0.094,2.11,,0.306,1.853
200517,Pb3(GeO5),ICSD,15.999,86.025,207.2,2,3.556,6,14,15.111,16,152,175.222,211,2.01,2.911,3.44,2,3.111,4.444,4.667,0,2.889,0,0,7.417,10.916,13.618,0.36,1.082,1.461,54.36,365.003,1211.4,90.2,1069.222,3106,0.001,4.373,11.342,5.743,5.743,5.743,32.145,32.145,32.145,53.783,85.928,53.783,0.235,0.235,0.235,166.162,166.162,166.162,-4,1,0.046,0.046,0.046,0.046,-4,10.163,10.163,10.163,4.781,4.781,4.781,17.622,22.402,17.622,23.084,23.084,23.084,1398.39,1398.39,1398.39,0,1,0.061,0.061,0.061,0.061,2.163,,0.064,22.5845
200603,Ca2Ge7O16,ICSD,15.999,33.782,72.63,2,2.72,4,2,14.32,16,152,174.84,231,1,2.844,3.44,2,3.12,2.8,0,0,2.4,0,0,6.113,11.417,13.618,-1.39,1.202,1.461,54.36,463.182,1211.4,90.2,1067.968,3106,0.001,1.615,5.323,5.743,5.743,5.743,32.145,32.145,32.145,53.783,85.928,53.783,0.235,0.235,0.235,166.162,166.162,166.162,-4,1,0.046,0.046,0.046,0.046,-4,7.107,7.107,7.107,8.746,8.746,8.746,25.832,34.578,25.832,60.506,60.506,60.506,14179.8,14179.8,14179.8,0,1,0.137,0.137,0.137,0.137,3.224,,0.009,0.6945
200614,CaGe2O5,ICSD,15.999,33.167,72.63,2,2.75,4,2,13.75,16,152,176.625,231,1,2.778,3.44,2,3,2.5,0,0,2.25,0,0,6.113,11.25,13.618,-1.39,1.077,1.461,54.36,476.2,1211.4,90.2,1052.5,3106,0.001,1.524,5.323,5.743,5.743,5.743,32.145,32.145,32.145,53.783,85.928,53.783,0.235,0.235,0.235,166.162,166.162,166.162,-4,1,0.046,0.046,0.046,0.046,-4,7.107,7.107,7.107,8.746,8.746,8.746,25.832,34.578,25.832,60.506,60.506,60.506,14179.8,14179.8,14179.8,0,1,0.137,0.137,0.137,0.137,2.88,,0.05,0.02
201282,PbGe4O9,ICSD,15.999,45.837,207.2,2,2.857,6,14,15.286,16,152,172.429,211,2.01,2.952,3.44,2,3.286,3.571,1,0,2.714,0,0,7.417,11.541,13.618,0.36,1.351,1.461,54.36,423.961,1211.4,90.2,1089.843,3106,0.001,2.332,11.342,5.743,5.743,5.743,32.145,32.145,32.145,53.783,85.928,53.783,0.235,0.235,0.235,166.162,166.162,166.162,-4,1,0.046,0.046,0.046,0.046,-4,10.163,10.163,10.163,4.781,4.781,4.781,17.622,22.402,17.622,23.084,23.084,23.084,1398.39,1398.39,1398.39,0,1,0.061,0.061,0.061,0.061,3.5,,0.08,4.406
201356,Bi4(GeO4)3,ICSD,15.999,65.568,208.98,2,3.158,6,14,15.474,16,152,172.895,211,2.01,2.915,3.44,2,3.474,3.684,2.947,0,2.526,0,0,7.289,11.383,13.618,0.946,1.335,1.461,54.36,340.248,1211.4,90.2,934.126,3106,0.001,2.906,9.807,5.743,5.743,5.743,32.145,32.145,32.145,53.783,85.928,53.783,0.235,0.235,0.235,166.162,166.162,166.162,-4,1,0.046,0.046,0.046,0.046,-4,10.881,10.881,10.881,0,0,0,26.155,26.155,26.155,33.468,33.468,33.468,1.051,1.051,1.051,0,1,0.039,0.039,0.039,0.039,3.894,,0,1.2285
202606,La2Ge2O7,ICSD,15.999,48.642,138.906,2,3.091,6,3,13.273,16,152,178.727,240,1.1,2.755,3.44,2,2.909,2,0,0,2,1.636,0,5.577,11.116,13.618,0.48,1.262,1.461,54.36,471.393,1211.4,90.2,1301.582,3737,0.001,2.087,6.15,5.743,5.743,5.743,32.145,32.145,32.145,53.783,85.928,53.783,0.235,0.235,0.235,166.162,166.162,166.162,-4,1,0.046,0.046,0.046,0.046,-4,8.741,8.741,8.741,0.041,0.041,0.041,45.904,45.945,45.904,46.966,46.966,46.966,25.879,25.879,25.879,0,1,0.097,0.097,0.097,0.097,4.013,,0.067,1.6755
237764,Na2Be4B4O11,ICSD,9.012,14.346,22.99,2,2.095,3,1,11.333,16,152,166.952,227,0.93,2.578,3.44,1.905,2.286,0,0,0.095,2,0,0,5.139,10.979,13.618,0.277,0.943,1.461,54.36,808.184,2348,90.2,1493.914,4273,0.001,0.897,2.37,4.813,5.697,6.58,20.694,28.186,35.678,68.73,80.159,103.947,4.651,141.185,277.72,0.011,82.785,165.56,-5,2,0.063,0.133,0.067,0.07,-2.5,6.246,6.246,6.246,1.865,1.865,1.865,30.739,32.604,30.739,77.998,77.998,77.998,9284.889,9284.889,9284.889,0,1,0.083,0.083,0.083,0.083,5.165,7.3,0.068,1.062
238073,KSbB2O6,ICSD,10.81,27.847,121.76,2,2.5,5,1,13.8,16,152,177.7,275,0.82,2.759,3.44,1.9,2.9,1,0,0.1,2.5,0,0,4.341,11.129,13.618,0.277,1.089,1.461,54.36,626.247,2348,90.2,1197.92,4273,0.001,1.232,6.685,4.813,6.339,7.864,35.678,66.021,96.363,103.947,117.994,644.424,0.028,138.874,277.72,2.646,84.103,165.56,-6,2,0.062,0.132,0.066,0.07,-3,5.294,5.294,5.294,2.639,2.639,2.639,34.753,37.392,34.753,230.047,230.047,230.047,30942.76,30942.76,30942.76,0,1,0.094,0.094,0.094,0.094,3.627,,0.101,1.3765
238604,Pb2Ba3(BO3)3Cl,ICSD,10.81,57.681,207.2,2,3.167,6,2,13,17,152,184.833,268,0.89,2.643,3.44,2,2.667,1.111,1.556,0,2.333,0,0,5.212,10.605,13.618,-0.48,0.938,3.617,54.36,661.451,2348,90.2,1356.884,4273,0.001,2.259,11.342,4.813,8.041,11.269,3.625,19.652,35.678,2.735,21.019,103.947,0,138.86,277.72,0,82.78,165.56,-4,2,0,0.07,0.035,0.07,-2,7.437,8.8,10.163,4.781,6.535,8.29,17.622,15.346,25.893,23.084,40.572,58.06,1398.39,6326.295,11254.2,0,2,0.061,0.295,0.148,0.234,3.569,,0.032,2.358
238611,RbMgCO3F,ICSD,12.011,26.968,85.468,2,2.571,5,1,11.714,17,135,176.714,303,0.82,2.711,3.98,1.857,2.714,0,0,0.143,1.571,0,0,4.177,11.623,17.423,-0.22,1.319,3.339,53.53,753.581,3823,85.03,968.233,4098,0.001,0.792,2.267,7.529,11.345,15.161,10.202,12.125,14.049,21.668,22.959,29.318,0,19.312,38.625,0,8.254,16.508,-3,2,0,0.113,0.056,0.113,-1.5,5.014,6.19,7.365,4.599,6.041,7.483,20.318,16.2,33.92,45.955,1062.718,2079.48,12450.1,3084238.261,6156026.421,0,2,0.083,0.183,0.091,0.099,4.72,6.53,,
239001,NaCa4B3O9,ICSD,10.81,21.161,40.08,2,2.529,4,1,11.294,16,152,182.059,231,0.93,2.471,3.44,1.941,2.294,0,0,0.059,1.941,0,0,5.139,10.415,13.618,-1.39,0.528,1.461,54.36,727.305,2348,90.2,1283.224,4273,0.001,0.838,2.37,4.813,4.813,4.813,35.678,35.678,35.678,103.947,139.625,103.947,277.72,277.72,277.72,165.56,165.56,165.56,-3,1,0.07,0.07,0.07,0.07,-3,6.246,6.677,7.107,1.865,5.305,8.746,25.832,18.221,30.739,60.506,69.252,77.998,9284.889,11732.345,14179.8,0,2,0.083,0.22,0.11,0.137,4.092,,0.049,0.8855
239112,Na4MgGe2Se6,ICSD,22.99,56.565,78.97,3,3.615,4,1,10,16,173,203.308,227,0.93,1.873,2.55,1.692,2.154,6.154,0,0.308,1.538,0,0,5.139,7.886,9.752,-0.22,1.292,2.021,370.95,599.346,1211.4,958,1380.538,3106,0.97,3.471,5.323,5.743,6.116,6.489,24.204,28.175,32.145,53.783,58.666,60.983,0,0.118,0.235,0,83.081,166.162,-6,2,0,0.046,0.023,0.046,-3,6.246,6.806,7.365,1.865,4.674,7.483,20.318,14.832,30.739,25.35,51.674,77.998,4843.68,7064.285,9284.889,0,2,0.083,0.166,0.083,0.083,1.82,2.53,0.09,24.9
239113,Na4MgSi2Se6,ICSD,22.99,49.712,78.97,3,3.462,4,1,10,16,173,203.154,227,0.93,1.856,2.55,1.692,2.154,4.615,0,0.308,1.538,0,0,5.139,7.924,9.752,-0.22,1.298,2.021,370.95,672.515,1687,958,1447,3538,0.97,3.01,4.809,4.896,5.693,6.489,24.204,27.079,29.954,46.699,57.57,60.983,0,0.219,0.438,0,304.521,609.043,-6,2,0,0.075,0.037,0.075,-3,6.246,6.806,7.365,1.865,4.674,7.483,20.318,14.832,30.739,25.35,51.674,77.998,4843.68,7064.285,9284.889,0,2,0.083,0.166,0.083,0.083,2.76,2.85,0.1,7.6
239629,Li3Cs2Pb2B3P6O24,ICSD,6.938,32.582,207.2,2,2.55,6,1,13.65,16,152,173.5,343,0.79,2.775,3.44,1.875,3.025,0.5,0.7,0.125,2.225,0,0,3.894,11.336,13.618,0.277,1.097,1.461,54.36,335.445,2348,90.2,727.068,4273,0.001,1.155,11.342,4.813,5.762,6.71,19.001,27.34,35.678,25.055,39.867,103.947,0.018,138.869,277.72,39.27,102.415,165.56,-6,2,0.07,0.177,0.089,0.107,-3,5.389,7.781,10.163,0.002,2.383,4.781,17.622,8.257,28.297,5.274,98.286,266.501,8.625,9590.854,27365.547,0,3,0.057,0.238,0.079,0.119,5.16,,0,0.019
239630,Li3Cs2Sr2B3P6O24,ICSD,6.938,26.602,132.905,2,2.5,6,1,13.05,16,152,175.85,343,0.79,2.706,3.44,1.875,2.925,0,0,0.125,2.025,0,0,3.894,11.25,13.618,-1.51,1.004,1.461,54.36,357.914,2348,90.2,708.718,4273,0.001,0.72,2.64,4.813,5.762,6.71,19.001,27.34,35.678,25.055,39.867,103.947,0.018,138.869,277.72,39.27,102.415,165.56,-6,2,0.07,0.177,0.089,0.107,-3,5.389,6.76,7.792,0.002,3.716,8.778,24.519,13.148,28.297,5.274,114.986,266.501,8.625,14978.457,27365.547,0,3,0.057,0.344,0.115,0.167,5.94,,0,0.06
239631,Na3Y3(BO3)4,ICSD,10.81,25.951,88.906,2,2.545,5,1,11.636,16,152,178.636,227,0.93,2.54,3.44,1.864,2.364,0.136,0,0.136,2,1.227,0,5.139,10.485,13.618,0.277,0.964,1.461,54.36,751.917,2348,90.2,1477.109,4273,0.001,1.174,4.47,4.813,4.813,4.813,35.678,35.678,35.678,103.947,139.625,103.947,277.72,277.72,277.72,165.56,165.56,165.56,-3,1,0.07,0.07,0.07,0.07,-3,6.246,7.293,8.339,0.019,0.942,1.865,30.739,25.21,48.536,24.97,51.484,77.998,15.69,4650.29,9284.889,0,2,0.083,0.179,0.09,0.096,2.615,,0.043,2.89
239790,(Pb4O)Pb2B6O14,ICSD,10.81,57.335,207.2,2,2.889,6,13,14.889,16,152,172,202,2.04,2.882,3.44,2,2.889,2.222,3.111,0,3.111,0,0,7.417,11.058,13.618,0.277,0.953,1.461,54.36,685.447,2348,90.2,1449,4273,0.001,3.048,11.342,4.813,4.813,4.813,35.678,35.678,35.678,103.947,139.625,103.947,277.72,277.72,277.72,165.56,165.56,165.56,-3,1,0.07,0.07,0.07,0.07,-3,10.163,10.163,10.163,4.781,4.781,4.781,17.622,22.402,17.622,23.084,23.084,23.084,1398.39,1398.39,1398.39,0,1,0.061,0.061,0.061,0.061,2.923,,0.081,5.6525
240922,Na(Ge4(PO4)3),ICSD,15.999,29.921,72.63,2,2.6,4,1,14.7,16,152,171.75,227,0.93,2.841,3.44,1.95,3.25,2,0,0.05,2.45,0,0,5.139,11.581,13.618,0.548,1.286,1.461,54.36,341.039,1211.4,90.2,816.168,3106,0.001,1.387,5.323,3.336,5.023,6.71,19.001,22.891,26.78,25.055,71.983,98.186,0.018,357.808,715.599,39.27,1161.755,2284.24,-7,2,0.037,0.144,0.072,0.107,-3.5,6.246,6.246,6.246,1.865,1.865,1.865,30.739,32.604,30.739,77.998,77.998,77.998,9284.889,9284.889,9284.889,0,1,0.083,0.083,0.083,0.083,4.344,,0.006,1.2135
240989,Y2(Ge2O7),ICSD,15.999,39.551,88.906,2,2.909,5,3,13.273,16,152,174.909,219,1.22,2.776,3.44,2,2.909,2,0,0,2,1.636,0,6.217,11.233,13.618,0.307,1.231,1.461,54.36,581.211,1795,90.2,1279.945,3618,0.001,1.781,5.323,5.743,5.743,5.743,32.145,32.145,32.145,53.783,85.928,53.783,0.235,0.235,0.235,166.162,166.162,166.162,-4,1,0.046,0.046,0.046,0.046,-4,8.339,8.339,8.339,0.019,0.019,0.019,48.536,48.555,48.536,24.97,24.97,24.97,15.69,15.69,15.69,0,1,0.096,0.096,0.096,0.096,3.9,,0.028,0
241126,Rb3Y2(BO3)3,ICSD,10.81,35.92,88.906,2,2.882,5,1,11.294,16,152,193.588,303,0.82,2.469,3.44,1.824,2.294,0.118,0,0.176,1.941,1.059,0,4.177,10.142,13.618,0.277,0.941,1.461,54.36,709.448,2348,90.2,1397.047,4273,0.001,1.215,4.47,4.813,4.813,4.813,35.678,35.678,35.678,103.947,139.625,103.947,277.72,277.72,277.72,165.56,165.56,165.56,-3,1,0.07,0.07,0.07,0.07,-3,5.014,6.677,8.339,0.019,2.309,4.599,33.92,26.577,48.536,24.97,164.163,303.357,15.69,30434.66,60853.629,0,2,0.096,0.196,0.098,0.099,4.181,,0.038,0.308
242177,BaBe2BO3F3,ICSD,9.012,27.116,137.33,2,2.4,6,2,11.8,17,135,162.7,268,0.89,2.833,3.98,2,2.8,0,0,0,1.4,0,0,5.212,12.528,17.423,-0.48,1.496,3.339,53.53,679.167,2348,85.03,1245.669,4273,0.001,0.97,3.62,4.813,8.852,15.161,10.202,22.191,35.678,21.668,29.414,103.947,0,94.124,277.72,0,55.19,165.56,-6,3,0,0.133,0.044,0.07,-2,7.437,7.437,7.437,8.29,8.29,8.29,25.893,34.183,25.893,58.06,58.06,58.06,11254.2,11254.2,11254.2,0,1,0.234,0.234,0.234,0.234,6.629,8.41,0.07,0.054
243551,Sr2MnGe2S6O,ICSD,15.999,48.651,87.6,2,3.5,5,2,12.583,16,152,195.75,249,0.95,2.199,3.44,2,2.667,2.083,0,0,1.833,0.417,0,5.695,9.2,13.618,-1.51,1.214,2.077,54.36,702.193,1519,90.2,1354.392,3106,0.001,2.969,7.3,5.743,6.455,7.168,16.367,24.256,32.145,27.884,51.148,53.783,0,0.118,0.235,0,83.081,166.162,-6,2,0,0.046,0.023,0.046,-3,7.099,7.978,8.858,5.048,6.913,8.778,14.78,20.337,26.848,22.397,47.79,73.184,4471.34,11016.27,17561.2,0,7,0.083,0.25,0.125,0.167,2.2,,0.01,
